Book Title:,,,,,,,,,,,,,,,,,,,,,
Total Pages:,,,,,,,,,,,,,,,,,,,,,
Total Days:,,,,,,,,,,,,,,,,,,,,,
Avg Pages / Day:,,,,,,,,,,,,,,,,,,,,,
Schedule Start:,,,,,,,,,,,,,,,,,,,,,
Schedule End:,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Day #,Date,Plan Name,Day of Week,Book,Chapter or Section,Verse Range,Verses,Pages,Page Range,Plan #,Chapter (English),Segment Span,Chanting Guide,Chanting Guide(Sinhala),Chanting Guide(Bengali),Pali Word of the day,Pali Word of the day(Sinhali),Pali Word of the day(Bengali),notification title,notification body ,notification button text
72,24 Jul,,Sat,Dhammasaṅgaṇīpāḷi,4. Aṭṭhakathākaṇḍaṃ,1442–1476,35,4,247–250,,Section of Commentary,,,,,,,,,,
73,25 Jul,,Sun,Dhammasaṅgaṇīpāḷi,4. Aṭṭhakathākaṇḍaṃ,1477–1507,31,4,251–254,,Section of Commentary,,,,,,,,,,
74,26 Jul,,Mon,Dhammasaṅgaṇīpāḷi,4. Aṭṭhakathākaṇḍaṃ,1508–1546,39,4,255–258,,Section of Commentary,,,,,,,,,,
75,27 Jul,,Tue,Dhammasaṅgaṇīpāḷi,4. Aṭṭhakathākaṇḍaṃ,1547–1573,27,3,259–261,,Section of Commentary,,,,,,,,,,
76,28 Jul,,Wed,Dhammasaṅgaṇīpāḷi,4. Aṭṭhakathākaṇḍaṃ,1574–1596,23,3,262–264,,Section of Commentary,,,,,,,,,,
77,29 Jul,,Thu,Dhammasaṅgaṇīpāḷi,4. Aṭṭhakathākaṇḍaṃ,1597–1616,20,3,265–267,,Section of Commentary,,,,,,,,,,
78,30 Jul,"Days 78-94
The Analysis - Aggregates",Fri,Vibhaṅgapāḷi,1. Khandhavibhaṅgo,1–15,15,4,268–271,6,Analysis of the Aggregates,,,,,,,,,,
79,31 Jul,,Sat,Vibhaṅgapāḷi,1. Khandhavibhaṅgo,16–25,10,4,272–275,,Analysis of the Aggregates,,,,,,,,,,
80,1 Aug,,Sun,Vibhaṅgapāḷi,1. Khandhavibhaṅgo,26–33,8,4,276–279,,Analysis of the Aggregates,,,,,,,,,,
81,2 Aug,,Mon,Vibhaṅgapāḷi,1. Khandhavibhaṅgo,34–40,7,4,280–283,,Analysis of the Aggregates,,,,,,,,,,
82,3 Aug,,Tue,Vibhaṅgapāḷi,1. Khandhavibhaṅgo,41–57,17,4,284–287,,Analysis of the Aggregates,,,,,,,,,,
83,4 Aug,,Wed,Vibhaṅgapāḷi,1. Khandhavibhaṅgo,58–64,7,4,288–291,,Analysis of the Aggregates,,,,,,,,,,
84,5 Aug,,Thu,Vibhaṅgapāḷi,1. Khandhavibhaṅgo,65–77,13,4,292–295,,Analysis of the Aggregates,,,,,,,,,,
85,6 Aug,,Fri,Vibhaṅgapāḷi,1. Khandhavibhaṅgo,78–91,14,4,296–299,,Analysis of the Aggregates,,,,,,,,,,
86,7 Aug,,Sat,Vibhaṅgapāḷi,1. Khandhavibhaṅgo,92–95,4,4,300–303,,Analysis of the Aggregates,,,,,,,,,,
87,8 Aug,,Sun,Vibhaṅgapāḷi,1. Khandhavibhaṅgo,96–109,14,3,304–306,,Analysis of the Aggregates,,,,,,,,,,
88,9 Aug,,Mon,Vibhaṅgapāḷi,1. Khandhavibhaṅgo,110–120,11,3,307–309,,Analysis of the Aggregates,,,,,,,,,,
89,10 Aug,,Tue,Vibhaṅgapāḷi,1. Khandhavibhaṅgo,121–123,3,3,310–312,,Analysis of the Aggregates,,,,,,,,,,
90,11 Aug,,Wed,Vibhaṅgapāḷi,1. Khandhavibhaṅgo,124–134,11,3,313–315,,Analysis of the Aggregates,,,,,,,,,,
91,12 Aug,,Thu,Vibhaṅgapāḷi,1. Khandhavibhaṅgo,135–149,15,3,316–318,,Analysis of the Aggregates,,,,,,,,,,
