source_lemma,target_rendering,frequency_blocks,frequency_tokens,lemma_total_blocks,distinct_renderings_for_lemma,sample_block_ids
sāsavāpi,having_āsavas,1,1,1,1,1-0b-19
sātaṃ,mental_ease,8,,8,2,1-10; 1-108; 1-112; 1-18; 1-3
sātaṃ,sensation,4,,8,2,1-108; 1-112; 1-3; 1-60
sātā,at_that,4,,8,2,1-10; 1-18; 1-81; 1-87
sātā,feeling,4,,8,2,1-108; 1-112; 1-3; 1-60
sīlasampadā,Moral_achievement_and,1,1,1,1,1-0b-136
sīlavipatti,Moral_failure_and,1,1,1,1,1-0b-135
sīlavisuddhi,Purity_of_morals_and,1,1,1,1,1-0b-137
tajjāmanoviññāṇadhātu,this,1,1,1,1,1-63
tajjāmanoviññāṇadhātusamphassajaṃ,born_of_contact_with_the_appropriate_element_of_representative_intellection,1,1,1,1,1-3
tajjāmanoviññāṇadhātusamphassajā,born_of_contact_with_the_appropriate_element_of_representative_intellection,2,2,2,1,1-4; 1-5
takko,discrimination,4,4,4,1,1-21; 1-7; 1-84; 1-91
tapanīyā,conduce_to_remorse,1,1,1,1,1-0b-105
tasmiṃ,at_that,135,,136,23,1-10; 1-100; 1-101; 1-102; 1-103
tasmiṃ,occasion,35,,136,23,1-1; 1-100; 1-104; 1-111; 1-115
tasmiṃ,is.,6,,136,23,1-101; 1-102; 1-30; 1-31; 1-38
tasmiṃ,right_views,3,,136,23,1-20; 1-37; 1-90
tasmiṃ,one,2,,136,23,1-108; 1-112
tasmiṃ,right_concentration,2,,136,23,1-24; 1-94
tasmiṃ,self-collectedness,2,,136,23,1-11; 1-88
tasmiṃ,this,2,,136,23,1-106; 1-110
tasmiṃ,absence_of_dullness,1,,136,23,1-34
tasmiṃ,balance,1,,136,23,1-57
tasmiṃ,faculty_of_concentration,1,,136,23,1-15
tasmiṃ,feeling,1,,136,23,1-3
tasmiṃ,intelligence,1,,136,23,1-53
tasmiṃ,intuition,1,,136,23,1-55
tasmiṃ,others_also,1,,136,23,1-57
tasmiṃ,power_of_concentration,1,,136,23,1-28
tasmiṃ,power_of_insight,1,,136,23,1-29
tasmiṃ,quiet,1,,136,23,1-54
tasmiṃ,skandha_of_consciousness,1,,136,23,1-63
tasmiṃ,skandha_of_feeling,1,,136,23,1-60
tasmiṃ,sustained_thinking,1,,136,23,1-85
tasmiṃ,sustained_thought,1,,136,23,1-8
tasmiṃ,wisdom,1,,136,23,1-16
Tasmiṃ,At_that,2,2,2,1,1-121; 1-58
tayo,three,3,,3,2,1-103; 1-58; 1-70
tayo,"are,",1,,3,2,1-58
tesaṃ,of_those,2,2,2,1,1-19; 1-82
thāmo,vigour,7,7,7,1,1-13; 1-22; 1-26; 1-56; 1-76
ujukatā,rectitude,2,2,2,1,1-50; 1-51
ujutā,straightness,2,2,2,1,1-50; 1-51
upalakkhaṇā,differentiation,10,10,10,1,1-100; 1-16; 1-20; 1-29; 1-34
upaparikkhā,breadth,10,10,10,1,1-100; 1-16; 1-20; 1-29; 1-34
upavicāro,access,2,2,2,1,1-8; 1-85
upekkhāsahagatā,(States),1,,2,3,1-0b-92
upekkhāsahagatā,accompanied_by_indifference,1,,2,3,1-0b-92
upekkhāsahagatā,by_indifference,1,,2,3,1-0a-7
uppannaṃ,arisen,1,1,1,1,1-1
uppannā,have_arisen,1,1,1,1,1-0a-17
uppādino,bound_to_arise,1,1,1,1,1-0a-17
upādiṇṇupādāniyā,grasped_at_and_favourable_to_grasping,1,1,1,1,1-0a-4
upādiṇṇā,grasped_at,1,1,1,1,1-0b-68
upādā,(States),1,,1,2,1-0b-67
upādā,derived,1,,1,2,1-0b-67
upādānasampayuttā,associated_with_grasping,1,,2,2,1-0b-71
upādānasampayuttā,the_latter,1,,2,2,1-0b-73
upādānavippayuttā,dissociated_from_grasping,2,2,2,1,1-0b-71; 1-0b-74
upādāniyā,favourable_to_grasping,1,,2,2,1-0b-70
upādāniyā,the_latter,1,,2,2,1-0b-72
upādāniyāpi,may_be_either_favourable,1,1,1,1,1-0b-74
upādānā,both_graspings,2,,3,3,1-0b-72; 1-0b-73
upādānā,(States),1,,3,3,1-0b-69
upādānā,graspings,1,,3,3,1-0b-69
ussoḷhī,ardour,7,7,7,1,1-13; 1-22; 1-26; 1-56; 1-76
ussāho,zeal,7,7,7,1,1-13; 1-22; 1-26; 1-56; 1-76
uyyāmo,exertion,7,7,7,1,1-13; 1-22; 1-26; 1-56; 1-76
vajirūpamā,comparable_to_the_thunderbolt,1,1,1,1,1-0b-102
vattanā,continuance,2,2,2,1,1-19; 1-82
vebhabyā,reflection,10,10,10,1,1-100; 1-16; 1-20; 1-29; 1-34
vedanā,feeling,4,,12,8,1-108; 1-121; 1-133; 1-3
vedanā,this,4,,12,8,1-108; 1-112; 1-3; 1-60
vedanā,ease,2,,12,8,1-10; 1-87
vedanā,at_that,1,,12,8,1-133
vedanā,faculty_of_gladness,1,,12,8,1-81
vedanā,faculty_of_pleasure,1,,12,8,1-18
vedanā,"is,",1,,12,8,1-1
vedanā,one,1,,12,8,1-58
vedanākkhandhassa,skandhas_of_feeling,6,6,6,1,1-40; 1-42; 1-44; 1-46; 1-48
vedanākkhandhaṃ,skandha_of_feeling,2,2,2,1,1-114; 1-62
vedanākkhandho,skandha_of_feeling,4,,5,3,1-112; 1-121; 1-137; 1-60
vedanākkhandho,at_that,1,,5,3,1-137
vedanākkhandho,one,1,,5,3,1-58
"Vedanākkhandho,","Skandha_of_feeling,",7,7,7,1,1-119; 1-120; 1-122; 1-123; 1-59
vedanāya,feeling,1,3,1,1,1-0a-2
vedayitaṃ,pleasurable,4,4,4,1,1-108; 1-112; 1-3; 1-60
vicayo,research,10,10,10,1,1-100; 1-16; 1-20; 1-29; 1-34
vicāro,sustained_thinking,3,,5,4,1-114; 1-62; 1-85
vicāro,sustained_procedure,2,,5,4,1-8; 1-85
vicāro,"is,",1,,5,4,1-1
vicāro,sustained_thought,1,,5,4,1-8
"vicāro,","sustained_thinking,",2,2,2,1,1-128; 1-83
vijjā,Wisdom_and,1,1,1,1,1-0b-141
vijjābhāgino,partake_of_wisdom,1,1,1,1,1-0b-101
vijjūpamā,resemble_lightning,1,1,1,1,1-0b-102
vipassanā,intelligence,10,,13,3,1-100; 1-16; 1-20; 1-29; 1-34
vipassanā,intuition,3,,13,3,1-114; 1-55; 1-62
vipassanā,"is,",1,,13,3,1-1
vipāka,(results),1,,1,2,1-0a-3
vipāka,resultant,1,,1,2,1-0a-3
vipākadhamma,(resultant_quality),1,1,1,1,1-0a-3
vipākā,results,1,1,1,1,1-0a-3
vitakko,application,4,,7,5,1-21; 1-7; 1-84; 1-91
vitakko,applied_thought,3,,7,5,1-114; 1-62; 1-84
vitakko,is.,2,,7,5,1-7; 1-84
vitakko,application_of_mind,1,,7,5,1-7
vitakko,"is,",1,,7,5,1-1
"Vitakko,","Applied_thought,",2,2,2,1,1-128; 1-83
vitti,felicity,2,2,2,1,1-86; 1-9
viññeyyā,(may_be_cognized),1,,1,2,1-0b-13
viññeyyā,may_be_cognized,1,,1,2,1-0b-13
viññāṇakkhandhassa,skandha_of_consciousness,5,,6,2,1-43; 1-45; 1-47; 1-49; 1-51
viññāṇakkhandhassa,skandha_of_mind,1,,6,2,1-41
viññāṇakkhandhaṃ,skandha_of_consciousness,2,2,2,1,1-114; 1-62
viññāṇakkhandho,appropriate_element_of_representative_intellection,11,,15,4,1-111; 1-115; 1-116; 1-117; 1-118
viññāṇakkhandho,skandha_of_consciousness,4,,15,4,1-115; 1-121; 1-122; 1-63
viññāṇakkhandho,is.,1,,15,4,1-115
viññāṇakkhandho,one,1,,15,4,1-58
viññāṇakkhandho.,skandha_of_consciousness.,1,1,1,1,1-59
viññāṇaṃ,skandha_of_consciousness,9,,12,3,1-111; 1-115; 1-116; 1-117; 1-118
viññāṇaṃ,skandha_of_intellection,2,,12,3,1-17; 1-6
viññāṇaṃ,appropriate_element_of_representative_intellection,1,,12,3,1-63
viññāṇāhāro,is.,1,,2,3,1-73
viññāṇāhāro,nutriment_of_consciousness,1,,2,3,1-126
viññāṇāhāro,nutriment_which_is_consciousness,1,,2,3,1-73
vā,at_that,1,,3,4,1-57
vā,or,1,,3,4,1-1
vā,"or_not,",1,,3,4,1-1
vā,those,1,,3,4,1-58
vāyāmo,endeavour,7,7,7,1,1-13; 1-22; 1-26; 1-56; 1-76
vīriyabalaṃ,power_of_energy,5,,10,4,1-114; 1-26; 1-62; 1-76; 1-97
vīriyabalaṃ,right_endeavour,5,,10,4,1-13; 1-22; 1-26; 1-56; 1-92
vīriyabalaṃ,"is,",1,,10,4,1-1
vīriyabalaṃ,is.,1,,10,4,1-26
"vīriyabalaṃ,","power_of_energy,",2,2,2,1,1-130; 1-95
vīriyaṃ,energy,7,7,7,1,1-13; 1-22; 1-26; 1-56; 1-76
vīriyindriyaṃ,energy_as_faculty_and_as_power,5,,10,4,1-13; 1-22; 1-26; 1-56; 1-92
vīriyindriyaṃ,faculty_of_energy,5,,10,4,1-114; 1-13; 1-62; 1-76; 1-97
vīriyindriyaṃ,"is,",1,,10,4,1-1
vīriyindriyaṃ,is.,1,,10,4,1-13
"vīriyindriyaṃ,","faculty_of_energy,",1,,2,2,1-127
"vīriyindriyaṃ,","Faculty_of_faith,",1,,2,2,1-74
vīriyārambho,inception_of_energy,7,7,7,1,1-13; 1-22; 1-26; 1-56; 1-76
yapanā,going_on,2,2,2,1,1-19; 1-82
Yasmiṃ,At_what,1,1,1,1,1-1
yathādiṭṭhissa,and_the_struggle_of_him_who_holds_the_views,1,1,1,1,1-0b-138
yaṃ,what,1,1,1,1,1-1
Yaṃ,Which,25,,26,2,1-10; 1-101; 1-102; 1-108; 1-111
Yaṃ,at_that,1,,26,2,1-63
ye,those,3,,4,2,1-114; 1-121; 1-62
ye,is;,1,,4,2,1-58
Ye,those,1,1,1,1,1-120
Yo,Which,24,24,24,1,1-104; 1-105; 1-107; 1-13; 1-19
yoganiyā,favourable_to_bonds,1,,2,2,1-0b-39
yoganiyā,the_latter,1,,2,2,1-0b-41
yoganiyāpi,may_be_favourable_to_bonds,1,1,1,1,1-0b-43
yogasampayuttā,associated_with_bonds,1,,2,2,1-0b-40
yogasampayuttā,the_latter,1,,2,2,1-0b-42
yogavippayuttā,are_dissociated_from_bonds,1,,2,2,1-0b-40
yogavippayuttā,dissociated_from_bonds,1,,2,2,1-0b-43
yogā,both_bonds,2,,3,3,1-0b-41; 1-0b-42
yogā,(States),1,,3,3,1-0b-38
yogā,bonds,1,,3,3,1-0b-38
Yā,Which,53,53,53,1,1-100; 1-106; 1-109; 1-11; 1-110
yāpanā,being_kept_going_on,2,2,2,1,1-19; 1-82
ñāṇasampayuttaṃ,associated_with_knowledge,1,1,1,1,1-1
ñāṇaṃ,knowledge_in_not_coming_to_pass,1,1,1,1,1-0b-142
ācayagāmino,going_to_building_up,1,1,1,1,1-0a-10
āhārā,nutriments,4,5,4,1,1-121; 1-126; 1-58; 1-70
āmodanā,rejoicing_at,2,2,2,1,1-86; 1-9
āpattikusalatā,Skill_in_offences_and,1,1,1,1,1-0b-119
āsavasampayuttā,associated_with_āsavas,2,,2,2,1-0b-16; 1-0b-18
āsavasampayuttā,(associated_with_āsavas),1,,2,2,1-0b-18
āsavavippayuttā,dissociated_from_āsavas,2,2,2,1,1-0b-16; 1-0b-19
āsavā,āsavas,3,,3,3,1-0b-14; 1-0b-17; 1-0b-18
āsavā,(āsavas),2,,3,3,1-0b-17; 1-0b-18
āsavā,(States),1,,3,3,1-0b-14
āyatanakusalatā,Skill_in_the_spheres_of_sense_and,1,1,1,1,1-0b-122
āyatanāni,spheres,2,3,2,1,1-121; 1-124
āyu,persistence,2,2,2,1,1-19; 1-82
ṭhapetvā,excluding,2,6,2,1,1-114; 1-62
ṭhiti,solidity,10,,12,2,1-11; 1-15; 1-24; 1-28; 1-54
ṭhiti,subsistence,2,,12,2,1-19; 1-82
ṭhānakusalatā,Skill_in_affirming_and,1,1,1,1,1-0b-123
–,this,32,,70,8,1-100; 1-104; 1-111; 1-115; 1-116
–,at_that,23,,70,8,1-108; 1-11; 1-112; 1-15; 1-16
–,occasion,6,,70,8,1-101; 1-102; 1-30; 1-31; 1-38
–,is.,4,,70,8,1-10; 1-18; 1-81; 1-87
–,States,2,,70,8,1-57; 1-58
–,these,2,,70,8,1-1; 1-123
–,purposefulness,1,,70,8,1-110
–,right_views,1,,70,8,1-106
